Unique_ID,Taxa,Ecosystem,x_gm,y_gm,Reference,Group,Lat,Lon,Year,Plot_name,Notes
11,Mixed prairie,"Dickinson, North Dakota, USA",3637,971,"Coupland 1993 8B; p. 472 for biomass and p. 477 for production. Also reproduced in Gibson 2009, p. 134",Grass,46.89,-102.79,,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
12,Festuca contracta community,South Georgia,4317,842,"Coupland 1993 8B; p. 472 for biomass and p. 477 for production. Also reproduced in Gibson 2009, p. 134",Grass,42,44,,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
13,Sesbania bispinosa community,"Kurukshetra, India",4592,3141,"Coupland 1993 8B; p. 472 for biomass and p. 477 for production. Also reproduced in Gibson 2009, p. 134",Grass,30,76.45,,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
14,Desmostachya bipinnata community,"Kurukshetra, India",4673,2452,"Coupland 1993 8B; p. 472 for biomass and p. 477 for production. Also reproduced in Gibson 2009, p. 134",Grass,30,76.45,,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
15,Mixed grass community,"Kurukshetra, India",4709,3538,"Coupland 1993 8B; p. 472 for biomass and p. 477 for production. Also reproduced in Gibson 2009, p. 134",Grass,30,76.45,,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
16,Eragrostis nutans lowland,"Varanasi, India",4730,4557,"Coupland 1993 8B; p. 472 for biomass and p. 477 for production. Also reproduced in Gibson 2009, p. 134",Grass,25.05,83.05,,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
17,Poa folioa tussock grassland,Macquarie Island,8411,5581,"Coupland 1993 8B; p. 472 for biomass and p. 477 for production. Also reproduced in Gibson 2009, p. 134",Grass,-54.6,158.9,,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
18,"Plains, grazed","Khirasara, India",347,345,"Singh & Gupta 1993; Coupland 1993 (8B), p. 100",Grass,22.02,69.6,,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
19,"Hilltops, grazed","Khirasara, India",166,179,"Singh & Gupta 1993; Coupland 1993 (8B), p. 100",Grass,22.02,69.6,,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
20,"Hill bases, grazed","Khirasara, India",156,229,"Singh & Gupta 1993; Coupland 1993 (8B), p. 100",Grass,22.02,69.6,,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
21,mixed grass,"Kurukshetra, India",2001,1402,"Singh & Gupta 1993; Coupland 1993 (8B), p. 100",Grass,30,76.45,,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
22,"Andropogon muricatus, Saccharum spontaneum","Sambalpur, India",2940,2430,"Singh & Gupta 1993; Coupland 1993 (8B), p. 100",Grass,21.47,83.98,,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
23,Apluda,"Udaipur, India",666,507,"Singh & Gupta 1993; Coupland 1993 (8B), p. 100",Grass,24.57,73.69,,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
24,Apluda,"Udaipur, India",604,438,"Singh & Gupta 1993; Coupland 1993 (8B), p. 100",Grass,24.57,73.69,,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
25,Apluda,"Udaipur, India",889,706,"Singh & Gupta 1993; Coupland 1993 (8B), p. 100",Grass,24.57,73.69,,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
26,Apluda,"Udaipur, India",553,393,"Singh & Gupta 1993; Coupland 1993 (8B), p. 100",Grass,24.57,73.69,,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
27,Desmostachya bipinnata upland,"Varanasi, India",3293,3595,"Singh & Gupta 1993; Coupland 1993 (8B), p. 100",Grass,25.05,83.05,,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
28,Meadow-steppe,Russian plain,3010,1700,Rychnovska 1979; Coupland 1979 p.178; ,Grass,,,,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
29,Meadow-steppe,"USSR, Novosibirsk region",2760,1780,Rychnovska 1979; Coupland 1979 p.178,Grass,55.02,82.94,,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
30,Halophytic meadow-steppe,"USSR, Novosibirsk region",3230,3500,Rychnovska 1979; Coupland 1979 p.178,Grass,55.02,82.94,,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
31,Dry alluvial meadow,"Czechoslovakia, Southern Moravia",2390,1500,Rychnovska 1979; Coupland 1979 p.178,Grass,48.95,16.76,,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
32,Steppe meadow,"USSR, Tambovskaya region",2850,1320,Rychnovska 1979; Coupland 1979 p.178,Grass,52.64,41.43,,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
33,Steppe meadow,"USSR, Novosibirsk region",2030,800,Rychnovska 1979; Coupland 1979 p.178,Grass,55.02,82.94,,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
34,Mesophytic alluvial meadow,"Czechoslovakia, Southern Moravia",2166,1690,Rychnovska 1979; Coupland 1979 p.178,Grass,48.95,16.76,,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
35,Mesophytic meadow,"USSR, Leningrad region",3050,1590,Rychnovska 1979; Coupland 1979 p.178,Grass,60,30.17,,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
36,Mesophytic alluvial meadow,"USSR, Moscow region",2060,1340,Rychnovska 1979; Coupland 1979 p.178,Grass,55.74,37.61,,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
37,Mesophytic meadow,,1170,812,Rychnovska 1979; Coupland 1979 p.178,Grass,,,,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
38,Meadow,"West Germany, Solling plateau",1232,1250,Rychnovska 1979; Coupland 1979 p.178,Grass,51.72,9.62,,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
39,Mesophytic meadow,Japan,3274,1810,Rychnovska 1979; Coupland 1979 p.178,Grass,,,,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
40,Mesohalophytic meadow,"USSR, Tambovskaya region",3870,1460,Rychnovska 1979; Coupland 1979 p.178,Grass,52.64,41.43,,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
41,Mesohalophytic meadow,"USSR, Novosibirsk region",6720,3100,Rychnovska 1979; Coupland 1979 p.178,Grass,55.02,82.94,,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
42,Halophytic meadow,"USSR, Novosibirsk region",2200,1410,Rychnovska 1979; Coupland 1979 p.178,Grass,55.02,82.94,,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
43,Wet halophytic meadow,"USSR, Novosibirsk region",690,520,Rychnovska 1979; Coupland 1979 p.178,Grass,55.02,82.94,,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
44,Halophytic meadow,Netherlands,3168,1651,Rychnovska 1979; Coupland 1979 p.178,Grass,,,,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
45,Wet alluvial meadow,"Czechoslovakia, Southern Moravia",4180,2410,Rychnovska 1979; Coupland 1979 p.178,Grass,48.95,16.76,,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
46,Wet halophytic meadow,Netherlands,2241,984,Rychnovska 1979; Coupland 1979 p.178,Grass,,,,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
47,Ungrazed mixed prairie,"Bridger, Montana, 1972",1931,801,Sims Singh Lauenroth 1978 for biomass values and Sims Singh 1978 for production,Grass,45.78333333,-110.7833333,1972,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
48,Ungrazed mixed prairie,"Cottonwood, South Dakota, 1970",1788,728,Sims Singh Lauenroth 1978 for biomass values and Sims Singh 1978 for production,Grass,43.95,-101.8666667,1970,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
49,Ungrazed mixed prairie,"Cottonwood, South Dakota, 1971",1979,1076,Sims Singh Lauenroth 1978 for biomass values and Sims Singh 1978 for production,Grass,43.95,-101.8666667,1971,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
50,Ungrazed mixed prairie,"Cottonwood, South Dakota, 1972",2236,583,Sims Singh Lauenroth 1978 for biomass values and Sims Singh 1978 for production,Grass,43.95,-101.8666667,1972,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
51,Ungrazed mixed prairie,"Dickinson, North Dakota, 1970",2472,1283,Sims Singh Lauenroth 1978 for biomass values and Sims Singh 1978 for production,Grass,46.9,-102.8166667,1970,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
52,Ungrazed mixed prairie,"Hays, Kansas, 1970",1979,1425,Sims Singh Lauenroth 1978 for biomass values and Sims Singh 1978 for production,Grass,38.86666667,-99.38333333,1970,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
53,Ungrazed mixed prairie,"Jornada, New Mexico, 1970",346,225,Sims Singh Lauenroth 1978 for biomass values and Sims Singh 1978 for production,Grass,32.6,-106.85,1970,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
54,Ungrazed mixed prairie,"Jornada, New Mexico, 1971",311,379,Sims Singh Lauenroth 1978 for biomass values and Sims Singh 1978 for production,Grass,32.6,-106.85,1971,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
55,Ungrazed mixed prairie,"Jornada, New Mexico, 1972",253,282,Sims Singh Lauenroth 1978 for biomass values and Sims Singh 1978 for production,Grass,32.6,-106.85,1972,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
56,Ungrazed mixed prairie,"Osage, Oklahoma 1970",1887,933,Sims Singh Lauenroth 1978 for biomass values and Sims Singh 1978 for production,Grass,36.95,-96.55,1970,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
57,Ungrazed mixed prairie,"Osage, Oklahoma 1971",2000,847,Sims Singh Lauenroth 1978 for biomass values and Sims Singh 1978 for production,Grass,36.95,-96.55,1971,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
58,Ungrazed mixed prairie,"Osage, Oklahoma 1972",1564,882,Sims Singh Lauenroth 1978 for biomass values and Sims Singh 1978 for production,Grass,36.95,-96.55,1972,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
59,Ungrazed mixed prairie,"Pantex, Texas, 1970",1216,572,Sims Singh Lauenroth 1978 for biomass values and Sims Singh 1978 for production,Grass,35.3,-101.5333333,1970,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
60,Ungrazed mixed prairie,"Pantex, Texas, 1971",865,895,Sims Singh Lauenroth 1978 for biomass values and Sims Singh 1978 for production,Grass,35.3,-101.5333333,1971,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
61,Ungrazed mixed prairie,"Pantex, Texas, 1972",1076,1203,Sims Singh Lauenroth 1978 for biomass values and Sims Singh 1978 for production,Grass,35.3,-101.5333333,1972,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
62,Ungrazed mixed prairie,"Pawnee, Colorado, 1970",1934,571,Sims Singh Lauenroth 1978 for biomass values and Sims Singh 1978 for production,Grass,40.81666667,-104.7666667,1970,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
63,Ungrazed mixed prairie,"Pawnee, Colorado, 1971",1273,904,Sims Singh Lauenroth 1978 for biomass values and Sims Singh 1978 for production,Grass,40.81666667,-104.7666667,1971,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
64,Ungrazed mixed prairie,"Pawnee, Colorado, 1972",1176,745,Sims Singh Lauenroth 1978 for biomass values and Sims Singh 1978 for production,Grass,40.81666667,-104.7666667,1972,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
65,Grazed mixed prairie,"Bridger, Montana, 1972",2229,917,Sims Singh Lauenroth 1978 for biomass values and Sims Singh 1978 for production,Grass,45.78333333,-110.7833333,1972,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
66,Grazed mixed prairie,"Cottonwood, South Dakota, 1970",2264,850,Sims Singh Lauenroth 1978 for biomass values and Sims Singh 1978 for production,Grass,43.95,-101.8666667,1970,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
67,Grazed mixed prairie,"Cottonwood, South Dakota, 1971",2566,1224,Sims Singh Lauenroth 1978 for biomass values and Sims Singh 1978 for production,Grass,43.95,-101.8666667,1971,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
68,Grazed mixed prairie,"Cottonwood, South Dakota, 1972",2578,522,Sims Singh Lauenroth 1978 for biomass values and Sims Singh 1978 for production,Grass,43.95,-101.8666667,1972,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
69,Grazed mixed prairie,"Dickinson, North Dakota, 1970",2808,1260,Sims Singh Lauenroth 1978 for biomass values and Sims Singh 1978 for production,Grass,46.9,-102.8166667,1970,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
70,Grazed mixed prairie,"Hays, Kansas, 1970",1332,1227,Sims Singh Lauenroth 1978 for biomass values and Sims Singh 1978 for production,Grass,38.86666667,-99.38333333,1970,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
71,Grazed mixed prairie,"Jornada, New Mexico, 1970",260,227,Sims Singh Lauenroth 1978 for biomass values and Sims Singh 1978 for production,Grass,32.6,-106.85,1970,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
72,Grazed mixed prairie,"Jornada, New Mexico, 1971",227,233,Sims Singh Lauenroth 1978 for biomass values and Sims Singh 1978 for production,Grass,32.6,-106.85,1971,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
73,Grazed mixed prairie,"Jornada, New Mexico, 1972",202,237,Sims Singh Lauenroth 1978 for biomass values and Sims Singh 1978 for production,Grass,32.6,-106.85,1972,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
74,Grazed mixed prairie,"Osage, Oklahoma 1970",1692,936,Sims Singh Lauenroth 1978 for biomass values and Sims Singh 1978 for production,Grass,36.95,-96.55,1970,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
75,Grazed mixed prairie,"Osage, Oklahoma 1971",1808,944,Sims Singh Lauenroth 1978 for biomass values and Sims Singh 1978 for production,Grass,36.95,-96.55,1971,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
76,Grazed mixed prairie,"Osage, Oklahoma 1972",1494,1353,Sims Singh Lauenroth 1978 for biomass values and Sims Singh 1978 for production,Grass,36.95,-96.55,1972,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
77,Grazed mixed prairie,"Pantex, Texas, 1970",1523,565,Sims Singh Lauenroth 1978 for biomass values and Sims Singh 1978 for production,Grass,35.3,-101.5333333,1970,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
78,Grazed mixed prairie,"Pantex, Texas, 1971",874,1205,Sims Singh Lauenroth 1978 for biomass values and Sims Singh 1978 for production,Grass,35.3,-101.5333333,1971,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
79,Grazed mixed prairie,"Pantex, Texas, 1972",1022,1270,Sims Singh Lauenroth 1978 for biomass values and Sims Singh 1978 for production,Grass,35.3,-101.5333333,1972,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
80,Grazed mixed prairie,"Pawnee, Colorado, 1970",1955,594,Sims Singh Lauenroth 1978 for biomass values and Sims Singh 1978 for production,Grass,40.81666667,-104.7666667,1970,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
81,Grazed mixed prairie,"Pawnee, Colorado, 1971",1254,830,Sims Singh Lauenroth 1978 for biomass values and Sims Singh 1978 for production,Grass,40.81666667,-104.7666667,1971,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
82,Grazed mixed prairie,"Pawnee, Colorado, 1972",1542,506,Sims Singh Lauenroth 1978 for biomass values and Sims Singh 1978 for production,Grass,40.81666667,-104.7666667,1972,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
83,Mixed grass community,"Pilani, India",103,217,"Coupland 1993 8B; p. 472 for biomass and p. 477 for production. Also reproduced in Gibson 2009, p. 134",Grass,28.37,75.6,,Grass above-ground production (g/m2/yr) vs above-ground biomass (g/m2) global,
84,Sehima nervosum community,"Ratlam, India",679,433,"Coupland 1993 8B; p. 472 for biomass and p. 477 for production. Also reproduced in Gibson 2009, p. 134",Grass,23.33,75.05,,Grass above-ground production (g/m2/yr) vs above-ground biomass (g/m2) global,
85,Sehima nervosum community,"Jhansi, India",1408,1019,"Coupland 1993 8B; p. 472 for biomass and p. 477 for production. Also reproduced in Gibson 2009, p. 134",Grass,25.44,78.57,,Grass above-ground production (g/m2/yr) vs above-ground biomass (g/m2) global,
86,Mixed grass community,"Kurukshetra, India",730,617,"Coupland 1993 8B; p. 472 for biomass and p. 477 for production. Also reproduced in Gibson 2009, p. 134",Grass,30,76.45,,Grass above-ground production (g/m2/yr) vs above-ground biomass (g/m2) global,
87,Dichanthelium annulatum grassland,"Ujjain, India",879,520,"Coupland 1993 8B; p. 472 for biomass and p. 477 for production. Also reproduced in Gibson 2009, p. 134",Grass,23.4,75.7,,Grass above-ground production (g/m2/yr) vs above-ground biomass (g/m2) global,
88,Mixed prairie,"Cottonwood, South Dakota, USA",301,433,"Coupland 1993 8B; p. 472 for biomass and p. 477 for production. Also reproduced in Gibson 2009, p. 134",Grass,44,-101.9,,Grass above-ground production (g/m2/yr) vs above-ground biomass (g/m2) global,
89,Heteropogon contortus community,"Sagar, India",1090,914,"Coupland 1993 8B; p. 472 for biomass and p. 477 for production. Also reproduced in Gibson 2009, p. 134",Grass,23.82,78.74,,Grass above-ground production (g/m2/yr) vs above-ground biomass (g/m2) global,
90,Flooding Pampa,Argentina,862,532,"Coupland 1993 8B; p. 472 for biomass and p. 477 for production. Also reproduced in Gibson 2009, p. 134",Grass,-40,-63,,Grass above-ground production (g/m2/yr) vs above-ground biomass (g/m2) global,
91,Mixed prairie,"Matador, Canada",560,447,"Coupland 1993 8B; p. 472 for biomass and p. 477 for production. Also reproduced in Gibson 2009, p. 134",Grass,50.79,-107.9,,Grass above-ground production (g/m2/yr) vs above-ground biomass (g/m2) global,
92,Mixed prairie,"Hays, Kansas, USA",560,422,"Coupland 1993 8B; p. 472 for biomass and p. 477 for production. Also reproduced in Gibson 2009, p. 134",Grass,38.88,-99.36,,Grass above-ground production (g/m2/yr) vs above-ground biomass (g/m2) global,
93,Mixed prairie,"Dickinson, North Dakota, USA",672,580,"Coupland 1993 8B; p. 472 for biomass and p. 477 for production. Also reproduced in Gibson 2009, p. 134",Grass,46.89,-102.79,,Grass above-ground production (g/m2/yr) vs above-ground biomass (g/m2) global,
94,Festuca contracta community,South Georgia,2535,492,"Coupland 1993 8B; p. 472 for biomass and p. 477 for production. Also reproduced in Gibson 2009, p. 134",Grass,42,44,,Grass above-ground production (g/m2/yr) vs above-ground biomass (g/m2) global,
95,Sesbania bispinosa community,"Kurukshetra, India",3361,2143,"Coupland 1993 8B; p. 472 for biomass and p. 477 for production. Also reproduced in Gibson 2009, p. 134",Grass,30,76.45,,Grass above-ground production (g/m2/yr) vs above-ground biomass (g/m2) global,
96,Desmostachya bipinnata community,"Kurukshetra, India",1578,862,"Coupland 1993 8B; p. 472 for biomass and p. 477 for production. Also reproduced in Gibson 2009, p. 134",Grass,30,76.45,,Grass above-ground production (g/m2/yr) vs above-ground biomass (g/m2) global,
97,Mixed grass community,"Kurukshetra, India",3242,2407,"Coupland 1993 8B; p. 472 for biomass and p. 477 for production. Also reproduced in Gibson 2009, p. 134",Grass,30,76.45,,Grass above-ground production (g/m2/yr) vs above-ground biomass (g/m2) global,
98,Eragrostis nutans lowland,"Varanasi, India",3296,3396,"Coupland 1993 8B; p. 472 for biomass and p. 477 for production. Also reproduced in Gibson 2009, p. 134",Grass,25.05,83.05,,Grass above-ground production (g/m2/yr) vs above-ground biomass (g/m2) global,
99,Poa folioa tussock grassland,Macquarie Island,3510,1911,"Coupland 1993 8B; p. 472 for biomass and p. 477 for production. Also reproduced in Gibson 2009, p. 134",Grass,-54.6,158.9,,Grass above-ground production (g/m2/yr) vs above-ground biomass (g/m2) global,
100,"Plains, grazed","Khirasara, India",147,98,"Singh & Gupta 1993; Coupland 1993 (8B), p. 100",Grass,22.02,69.6,,Grass above-ground production (g/m2/yr) vs above-ground biomass (g/m2) global,
101,"Hilltops, grazed","Khirasara, India",93,83,"Singh & Gupta 1993; Coupland 1993 (8B), p. 100",Grass,22.02,69.6,,Grass above-ground production (g/m2/yr) vs above-ground biomass (g/m2) global,
102,"Hill bases, grazed","Khirasara, India",70,92,"Singh & Gupta 1993; Coupland 1993 (8B), p. 100",Grass,22.02,69.6,,Grass above-ground production (g/m2/yr) vs above-ground biomass (g/m2) global,
103,mixed grass,"Kurukshetra, India",730,617,"Singh & Gupta 1993; Coupland 1993 (8B), p. 100",Grass,30,76.45,,Grass above-ground production (g/m2/yr) vs above-ground biomass (g/m2) global,
104,"Andropogon muricatus, Saccharum spontaneum","Sambalpur, India",572,458,"Singh & Gupta 1993; Coupland 1993 (8B), p. 100",Grass,21.47,83.98,,Grass above-ground production (g/m2/yr) vs above-ground biomass (g/m2) global,
105,Apluda,"Udaipur, India",256,237,"Singh & Gupta 1993; Coupland 1993 (8B), p. 100",Grass,24.57,73.69,,Grass above-ground production (g/m2/yr) vs above-ground biomass (g/m2) global,
106,Apluda,"Udaipur, India",225,211,"Singh & Gupta 1993; Coupland 1993 (8B), p. 100",Grass,24.57,73.69,,Grass above-ground production (g/m2/yr) vs above-ground biomass (g/m2) global,
107,Apluda,"Udaipur, India",394,375,"Singh & Gupta 1993; Coupland 1993 (8B), p. 100",Grass,24.57,73.69,,Grass above-ground production (g/m2/yr) vs above-ground biomass (g/m2) global,
108,Apluda,"Udaipur, India",207,201,"Singh & Gupta 1993; Coupland 1993 (8B), p. 100",Grass,24.57,73.69,,Grass above-ground production (g/m2/yr) vs above-ground biomass (g/m2) global,
109,Desmostachya bipinnata upland,"Varanasi, India",2360,2218,"Singh & Gupta 1993; Coupland 1993 (8B), p. 100",Grass,25.05,83.05,,Grass above-ground production (g/m2/yr) vs above-ground biomass (g/m2) global,
110,Meadow-steppe,Russian plain,760,560,Rychnovska 1979; Coupland 1979 p.178; ,Grass,,,,Grass above-ground production (g/m2/yr) vs above-ground biomass (g/m2) global,
111,Meadow-steppe,"USSR, Novosibirsk region",590,380,Rychnovska 1979; Coupland 1979 p.178,Grass,55.02,82.94,,Grass above-ground production (g/m2/yr) vs above-ground biomass (g/m2) global,
112,Halophytic meadow-steppe,"USSR, Novosibirsk region",470,270,Rychnovska 1979; Coupland 1979 p.178,Grass,55.02,82.94,,Grass above-ground production (g/m2/yr) vs above-ground biomass (g/m2) global,
113,Dry alluvial meadow,"Czechoslovakia, Southern Moravia",370,460,Rychnovska 1979; Coupland 1979 p.178,Grass,48.95,16.76,,Grass above-ground production (g/m2/yr) vs above-ground biomass (g/m2) global,
114,Steppe meadow,"USSR, Tambovskaya region",650,590,Rychnovska 1979; Coupland 1979 p.178,Grass,52.64,41.43,,Grass above-ground production (g/m2/yr) vs above-ground biomass (g/m2) global,
115,Steppe meadow,"USSR, Novosibirsk region",1230,530,Rychnovska 1979; Coupland 1979 p.178,Grass,55.02,82.94,,Grass above-ground production (g/m2/yr) vs above-ground biomass (g/m2) global,
116,Mesophytic alluvial meadow,"Czechoslovakia, Southern Moravia",496,720,Rychnovska 1979; Coupland 1979 p.178,Grass,48.95,16.76,,Grass above-ground production (g/m2/yr) vs above-ground biomass (g/m2) global,
117,Mesophytic meadow,"USSR, Leningrad region",1230,630,Rychnovska 1979; Coupland 1979 p.178,Grass,60,30.17,,Grass above-ground production (g/m2/yr) vs above-ground biomass (g/m2) global,
118,Mesophytic meadow,Japan,2086,925,Rychnovska 1979; Coupland 1979 p.178,Grass,,,,Grass above-ground production (g/m2/yr) vs above-ground biomass (g/m2) global,
119,Mesohalophytic meadow,"USSR, Tambovskaya region",570,360,Rychnovska 1979; Coupland 1979 p.178,Grass,52.64,41.43,,Grass above-ground production (g/m2/yr) vs above-ground biomass (g/m2) global,
120,Mesohalophytic meadow,"USSR, Novosibirsk region",4390,420,Rychnovska 1979; Coupland 1979 p.178,Grass,55.02,82.94,,Grass above-ground production (g/m2/yr) vs above-ground biomass (g/m2) global,
121,Halophytic meadow,"USSR, Novosibirsk region",470,330,Rychnovska 1979; Coupland 1979 p.178,Grass,55.02,82.94,,Grass above-ground production (g/m2/yr) vs above-ground biomass (g/m2) global,
122,Wet halophytic meadow,"USSR, Novosibirsk region",390,220,Rychnovska 1979; Coupland 1979 p.178,Grass,55.02,82.94,,Grass above-ground production (g/m2/yr) vs above-ground biomass (g/m2) global,
123,Halophytic meadow,Netherlands,646,559,Rychnovska 1979; Coupland 1979 p.178,Grass,,,,Grass above-ground production (g/m2/yr) vs above-ground biomass (g/m2) global,
124,Halophytic meadow,Netherlands,491,507,Rychnovska 1979; Coupland 1979 p.178,Grass,,,,Grass above-ground production (g/m2/yr) vs above-ground biomass (g/m2) global,
125,Wet alluvial meadow,"Czechoslovakia, Southern Moravia",1270,1270,Rychnovska 1979; Coupland 1979 p.178,Grass,48.95,16.76,,Grass above-ground production (g/m2/yr) vs above-ground biomass (g/m2) global,
126,Wet halophytic meadow,Netherlands,431,406,Rychnovska 1979; Coupland 1979 p.178,Grass,,,,Grass above-ground production (g/m2/yr) vs above-ground biomass (g/m2) global,
